timestep,mean_reward_last_100,mean_episode_length_last_100,mean_loss_last_100,mean_entropy_last_100
181000,14304.50519659,99.9,4134358.25,0.0
182000,14874.67278132,99.9,4134358.25,0.0
183000,14173.47291326,99.9,4134358.25,0.0
184000,14442.360605750002,99.9,4134358.25,0.0
185000,14481.192500440002,99.9,4476954.0,0.0
186000,15017.36460934,99.9,4476954.0,0.0
187000,15249.507799109999,99.9,4476954.0,0.0
188000,15089.674852770002,99.9,4476954.0,0.0
189000,14712.50176505,99.9,4083145.0,0.0
190000,14022.337618130001,100.0,4083145.0,0.0
191000,13726.204170269999,100.0,4083145.0,0.0
192000,12889.12293976,100.0,4083145.0,0.0
193000,13329.170751890002,100.0,3139883.5,0.0
194000,13233.994286630003,100.0,3139883.5,0.0
